date,person,translation,.polarity,p/n,Place
Fri Apr 30 15:54:16 +0000 2021,khlooff7774_,دمروا بندر سفينتنا وين باترسيّ ي مضنونا https://t.co/4hHmb1myPj,0.0,0.0,أبوظبي
Fri Apr 30 15:54:21 +0000 2021,a_alyammahi,الأخت عايشة من أصحاب الهمم  مهددة بالسجن بسبب متأخرات إيجارية بمبلغ 127620 درهمساهم بالتفريج عنها في هذة الليالي… https://t.co/RiYgs4NzHl,0.0,0.0,Fujairah
Fri Apr 30 15:54:38 +0000 2021,MOHAMMED77X7,@1_E1ic الله ينعم عليك في الدارين,0.0,0.0,الداخلية
Fri Apr 30 15:54:39 +0000 2021,m1982valizadeh,@RahmaniM110 @_breeze65 خوب در مطلب می نوشتی دوستانه که می خوان ارتباط بگیرن در کامنت راه ارتباط را بگید,0.0,0.0,جمهوری اسلامی ایران
Fri Apr 30 15:54:40 +0000 2021,_MYNON,يارب اسعد من اسعدني برحمتك يالله 🤍,0.0,0.0,الامارات العربية المتحدة
Fri Apr 30 15:54:46 +0000 2021,MiladPourivahab,@fwtmhhh میگمنانت نبود آبت نبود ای مردول کن جهان زا قهوه‌أت یخ کرد,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:54:54 +0000 2021,SefrBi,"می‌خواستَم‌َت شبیهِ #كارگر یکه تویِ آغوشَت از #وطن می‌گفتبا عکسِ ""تو"" تویِ مُشت‌هایش ...تویِ چشم‌هایِ پُلیس ... #آوانگارد #avangard",0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:54:55 +0000 2021,dargahan,Just posted a photo @ جزیره قشم https://t.co/xu4VzcgF5W,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:54:58 +0000 2021,MdAftab80604761,@Nidakhan080 Kishe du account number send kijiye ❤️,0.0,0.0,Eastern
Fri Apr 30 15:54:59 +0000 2021,ashir_786,@mishal_here06 🙊 https://t.co/uW73i9XKZb,0.0,0.0,Sharjah
Fri Apr 30 15:55:00 +0000 2021,l8wiir,بسلك طريق دبي لو مزحومي علـيـك شـوقي شاغل الخطين,0.0,0.0,Dubai
Fri Apr 30 15:55:12 +0000 2021,Delara_rm,@Parsaaap والا اونا از ما استفاده می‌کنن🚶🏻‍♀️,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:55:14 +0000 2021,zuxzadivina_,Am watching again dinner with the fam ep @itsokayemi,0.0,0.0,Dubai
